questions,step,content,label,is_calculation_or_reasoning,equation,leftSideOfEqualSign,rightSideOfEqualSign,leftSideOfEqual_use_sympy_or_llm,rightSideOfEqual_use_sympy_or_llm,leftSideOfEqual_code,rightSideOfEqual_code,JudgmentStepCalculatedCorrectly,StepCalculatedCorrectlyResult
"Michael is baking a cake and needs 6 cups of flour. The only measuring cup he has is the 1/4 cup. He has an 8 cup bag of flour and realizes it would be faster to measure the flour he doesn't need, take it out of the bag, and then dump the rest of the bag into the bowl. How many scoops should he remove?",Step 2,So he should remove 5 1/2 / 8 = <<5.5/8=<<5.5/8=7>>7 scoops of flour The answer is: 7,0,1,['5.5/8=7'],['5.5/8=>0.687500000000000'],['7=>7.00000000000000'],['sympy'],['sympy'],[''],[''],[0],['0.687500000000000']
"Running for 2 hours, Jonah burnt 30 calories every hour. How many more calories would he have lost if he would have run for five hours?",Step 1,Jonah would have burnt 30*5=<<30*5=150>>150 more calories if he had run for five hours.,0,1,['30*5=150'],['30*5=>150=>150.000000000000'],['150=>150.000000000000'],['sympy'],['sympy'],[''],[''],[1],['150.000000000000']
"Running for 2 hours, Jonah burnt 30 calories every hour. How many more calories would he have lost if he would have run for five hours?",Step 2,He would have lost 240 calories in total if he would have run for five hours because 150+90=<<150+90=240>>240,0,1,['150+90=240'],['150+90=>240=>240.000000000000'],['240=>240.000000000000'],['sympy'],['sympy'],[''],[''],[1],['240.000000000000']
"Running for 2 hours, Jonah burnt 30 calories every hour. How many more calories would he have lost if he would have run for five hours?",Step 3,Jonah would have lost 240-30=<<240-30=210>>210 more calories if he would have run for five hours. The answer is: 210,0,1,['240-30=210'],['240-30=>210=>210.000000000000'],['210=>210.000000000000'],['sympy'],['sympy'],[''],[''],[1],['210.000000000000']
"Val cuts a single watermelon into 40 slices, and each slice has 20 black seeds and 20 white seeds. What is the total number of seeds in a watermelon?",Step 1,There are 20 x 40 = <<20*40=8000>>8000 black seeds.,0,1,['20*40=8000'],['20*40=>800=>800.000000000000'],['8000=>8000.00000000000'],['sympy'],['sympy'],[''],[''],[0],['800.000000000000']
"Val cuts a single watermelon into 40 slices, and each slice has 20 black seeds and 20 white seeds. What is the total number of seeds in a watermelon?",Step 2,There are 20 x 40 = <<20*40=8000>>8000 white seeds.,0,1,['20*40=8000'],['20*40=>800=>800.000000000000'],['8000=>8000.00000000000'],['sympy'],['sympy'],[''],[''],[0],['800.000000000000']
"Val cuts a single watermelon into 40 slices, and each slice has 20 black seeds and 20 white seeds. What is the total number of seeds in a watermelon?",Step 3,"So, the total number of seeds is 8000 + 8000 = <<8000+8000=16000>>16000. The answer is: 16000",0,1,['8000+8000=16000'],['8000+8000=>16000=>16000.0000000000'],['16000=>16000.0000000000'],['sympy'],['sympy'],[''],[''],[1],['16000.0000000000']
James' keyboard is missing 1/7 of the consonants and two vowels. How many keys are missing in total? (Remember there are 5 vowels and 21 consonants in the alphabet.),Step 1,Missing consonants: 21 / 7 = <<21/7=3>>3,0,1,['21/7=3'],['21/7=>3=>3.00000000000000'],['3=>3.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['3.00000000000000']
James' keyboard is missing 1/7 of the consonants and two vowels. How many keys are missing in total? (Remember there are 5 vowels and 21 consonants in the alphabet.),Step 2,Missing vowels: 5 - 2 = <<5-2=3>>3,0,1,['5-2=3'],['5-2=>3=>3.00000000000000'],['3=>3.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['3.00000000000000']
James' keyboard is missing 1/7 of the consonants and two vowels. How many keys are missing in total? (Remember there are 5 vowels and 21 consonants in the alphabet.),Step 3,Missing keys: 3 + 3 = <<3+3=6>>6 The answer is: 6,0,1,['3+3=6'],['3+3=>6=>6.00000000000000'],['6=>6.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['6.00000000000000']
Tom wants to make the world's largest dough ball.  He needs 500 pounds of flour and he can buy 50-pound bags of flour for $20.  He also needs 10 pounds of salt and salt cost $.2 a pound.  He also spends $1000 promoting everything.  He then sells tickets for $20 each and sells 500 tickets.  How much money did he make?,Step 1,He spends 50*20=$<<50*20=1000>>1000 on promotion,0,1,['50*20=1000'],['50*20=>1000=>1000.00000000000'],['1000=>1000.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1000.00000000000']
Tom wants to make the world's largest dough ball.  He needs 500 pounds of flour and he can buy 50-pound bags of flour for $20.  He also needs 10 pounds of salt and salt cost $.2 a pound.  He also spends $1000 promoting everything.  He then sells tickets for $20 each and sells 500 tickets.  How much money did he make?,Step 2,He spends 10*.2=$<<10*.2=2>>2 on salt,0,1,['10*.2=2'],['10*.2=>2.00000000000000'],['2=>2.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['2.00000000000000']
Tom wants to make the world's largest dough ball.  He needs 500 pounds of flour and he can buy 50-pound bags of flour for $20.  He also needs 10 pounds of salt and salt cost $.2 a pound.  He also spends $1000 promoting everything.  He then sells tickets for $20 each and sells 500 tickets.  How much money did he make?,Step 3,He spends 500*20=$<<500*20=10000>>10000 on flour,0,1,['500*20=10000'],['500*20=>10000=>10000.0000000000'],['10000=>10000.0000000000'],['sympy'],['sympy'],[''],[''],[1],['10000.0000000000']
Tom wants to make the world's largest dough ball.  He needs 500 pounds of flour and he can buy 50-pound bags of flour for $20.  He also needs 10 pounds of salt and salt cost $.2 a pound.  He also spends $1000 promoting everything.  He then sells tickets for $20 each and sells 500 tickets.  How much money did he make?,Step 4,He sells 500 tickets at $20 apiece for 500*20=$<<500*20=10000>>10000,0,1,['500*20=10000'],['500*20=>10000=>10000.0000000000'],['10000=>10000.0000000000'],['sympy'],['sympy'],[''],[''],[1],['10000.0000000000']
Tom wants to make the world's largest dough ball.  He needs 500 pounds of flour and he can buy 50-pound bags of flour for $20.  He also needs 10 pounds of salt and salt cost $.2 a pound.  He also spends $1000 promoting everything.  He then sells tickets for $20 each and sells 500 tickets.  How much money did he make?,Step 5,He makes 10000-1000-10-2=<<10000-1000-10-2=8888>>8888 The answer is: 8888,0,1,['10000-1000-10-2=8888'],['10000-1000-10-2=>8988=>8988.00000000000'],['8888=>8888.00000000000'],['sympy'],['sympy'],[''],[''],[0],['8988.00000000000']
Jason has a carriage house that he rents out.  He’s charging $50.00 per day or $500.00 for 14 days.  Eric wants to rent the house for 20 days.  How much will it cost him?,Step 1,The total rental fee for 20 days is 20*50=<<20*50=1000>>1000,1,1,['20*50=1000'],['20*50=>1000=>1000.00000000000'],['1000=>1000.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1000.00000000000']
Jason has a carriage house that he rents out.  He’s charging $50.00 per day or $500.00 for 14 days.  Eric wants to rent the house for 20 days.  How much will it cost him?,Step 2,So the total cost is 1000+500=<<1000+500=1500>>1500 The answer is: 1500,0,1,['1000+500=1500'],['1000+500=>1500=>1500.00000000000'],['1500=>1500.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1500.00000000000']
Bingley has 5 bracelets. Kelly gives Bingley a fourth of her 16 bracelets. Then Bingley gives a third of his bracelets to his little sister. How many bracelets does Bingley have remaining?,Step 1,Kelly gives 16 / 4 = <<16/4=4>>4 bracelets to Bingley.,1,1,['16/4=4'],['16/4=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
Bingley has 5 bracelets. Kelly gives Bingley a fourth of her 16 bracelets. Then Bingley gives a third of his bracelets to his little sister. How many bracelets does Bingley have remaining?,Step 2,Bingley gives 5 / 3 = <<5/3=1.666666666666667>>1.666666666666667 bracelets to his sister.,0,1,['5/3=1.666666666666667'],['5/3=>1.66666666666667'],['1.666666666666667=>1.66666666666667'],['sympy'],['sympy'],[''],[''],[0],['1.66666666666667']
Bingley has 5 bracelets. Kelly gives Bingley a fourth of her 16 bracelets. Then Bingley gives a third of his bracelets to his little sister. How many bracelets does Bingley have remaining?,Step 3,Bingley has 5 - 4 - 1.666666666666667 = <<5-4-1.666666666666667=1.333333333333333>>1.333333333333333 bracelets remaining. The answer is: 1.333333333333333,0,1,['5-4-1.666666666666667=1.333333333333333'],['5-4-1.666666666666667=>-0.6666666666666670=>-0.666666666666667'],['1.333333333333333=>1.33333333333333'],['sympy'],['sympy'],[''],[''],[0],['-0.666666666666667']
"Leticia, Scarlett, and Percy decide to eat at a Greek restaurant for lunch. The prices for their dishes cost $10, $13, and $17, respectively. If the trio gives the waiter a 10% tip, how much gratuity should the waiter receive in dollars?",Step 1,The total bill for the three amounts to $10 + $13 + $17 = $<<10+13+17=30>>30.,0,1,['10+13+17=30'],['10+13+17=>40=>40.0000000000000'],['30=>30.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['40.0000000000000']
"Leticia, Scarlett, and Percy decide to eat at a Greek restaurant for lunch. The prices for their dishes cost $10, $13, and $17, respectively. If the trio gives the waiter a 10% tip, how much gratuity should the waiter receive in dollars?",Step 2,The tip amounts to $30 x 10% = $<<30*10*.01=3>>3.,0,1,['30*10*.01=3'],['30*10*.01=>30*10*.1=>30.0000000000000'],['3=>3.00000000000000'],['sympy'],['sympy'],[''],[''],[0],['30.0000000000000']
"Leticia, Scarlett, and Percy decide to eat at a Greek restaurant for lunch. The prices for their dishes cost $10, $13, and $17, respectively. If the trio gives the waiter a 10% tip, how much gratuity should the waiter receive in dollars?",Step 3,"Therefore, the gratuity should be $3 + $30 = $<<3+30=33>>33. The answer is: 33",0,1,['3+30=33'],['3+30=>33=>33.0000000000000'],['33=>33.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['33.0000000000000']
"Tony wants to build the longest rope he possibly can, so he collects all the rope in his home. He finds an 8-foot rope, a 20-foot rope, three 2 foot ropes, and a 7-foot rope. each knot between the ropes makes him lose 1.2 foot per knot. How long is his rope when he's done tying them all together?",Step 1,Tony has 8 + 20 + 6 = <<8+20+6=34>>34 feet of rope.,1,1,['8+20+6=34'],['8+20+6=>34=>34.0000000000000'],['34=>34.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['34.0000000000000']
"Tony wants to build the longest rope he possibly can, so he collects all the rope in his home. He finds an 8-foot rope, a 20-foot rope, three 2 foot ropes, and a 7-foot rope. each knot between the ropes makes him lose 1.2 foot per knot. How long is his rope when he's done tying them all together?",Step 2,He has 34 + 7 = <<34+7=41>>41 feet of rope.,1,1,['34+7=41'],['34+7=>41=>41.0000000000000'],['41=>41.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['41.0000000000000']
"Tony wants to build the longest rope he possibly can, so he collects all the rope in his home. He finds an 8-foot rope, a 20-foot rope, three 2 foot ropes, and a 7-foot rope. each knot between the ropes makes him lose 1.2 foot per knot. How long is his rope when he's done tying them all together?",Step 3,He has 41 - 2 = <<41-2=39>>39 feet of rope.,0,1,['41-2=39'],['41-2=>39=>39.0000000000000'],['39=>39.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['39.0000000000000']
"Tony wants to build the longest rope he possibly can, so he collects all the rope in his home. He finds an 8-foot rope, a 20-foot rope, three 2 foot ropes, and a 7-foot rope. each knot between the ropes makes him lose 1.2 foot per knot. How long is his rope when he's done tying them all together?",Step 4,He has 39 - 3 = <<39-3=36>>36 feet of rope.,0,1,['39-3=36'],['39-3=>36=>36.0000000000000'],['36=>36.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['36.0000000000000']
"Tony wants to build the longest rope he possibly can, so he collects all the rope in his home. He finds an 8-foot rope, a 20-foot rope, three 2 foot ropes, and a 7-foot rope. each knot between the ropes makes him lose 1.2 foot per knot. How long is his rope when he's done tying them all together?",Step 5,He has 36 - 1.2 = <<36-1.2=34.8>>34.8 feet of rope.,0,1,['36-1.2=34.8'],['36-1.2=>34.8000000000000'],['34.8=>34.8000000000000'],['sympy'],['sympy'],[''],[''],[1],['34.8000000000000']
"Tony wants to build the longest rope he possibly can, so he collects all the rope in his home. He finds an 8-foot rope, a 20-foot rope, three 2 foot ropes, and a 7-foot rope. each knot between the ropes makes him lose 1.2 foot per knot. How long is his rope when he's done tying them all together?",Step 6,Tony has 34.8 + 34 = <<34.8+34=68.8>>68.8 feet of rope. The answer is: 68.8,0,1,['34.8+34=68.8'],['34.8+34=>68.8000000000000'],['68.8=>68.8000000000000'],['sympy'],['sympy'],[''],[''],[1],['68.8000000000000']
Adam teaches 50 students a year. How many students will Adam teach in 10 years if in the first year he only teaches 40 students?,Step 1,"If in the first year, Adam teaches 40 students, then he teaches 50 students - 40 students = <<50-40=10>>10 more students in the next 9 years.",0,1,['50-40=10'],['50-40=>10=>10.0000000000000'],['10=>10.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['10.0000000000000']
